c1_resi,c2_resi_proliferation,c3_BM_proteasome,c4_BM_inflammaroty_signaling,c5_BM_growth,alveolar_mac_DEG
,,,,,SLC27A3
,,,,,TYROBP
,,,,,ATP6V1B2
,,,,,CCL23
,,,,,IGSF6
,,,,,STX12
,,,,,TGFBI
,,,,,PLSCR1
,,,,,LAIR1
,,,,,ENG
,,,,,PDLIM7
,,,,,TSPAN3
,,,,,CCRL2
,,,,,RHOB
,,,,,BLVRA
,,,,,TMED5
,,,,,SQOR
,,,,,SLC43A2
,,,,,SDC4
,,,,,ABHD5
,,,,,DLD
,,,,,HCFC1R1
,,,,,HLA-DQA1
,,,,,ATP6V1F
,,,,,GNS
,,,,,ZDHHC3
,,,,,COA6
,,,,,VKORC1
,,,,,AVPI1
,,,,,CD59
,,,,,HLA-DQB1
,,,,,PTTG1IP
,,,,,RSU1
,,,,,LACTB
,,,,,PLAUR
,,,,,HLA-DMA
,,,,,ACER3
,,,,,CD63
,,,,,HLA-DRB6
,,,,,LY96
,,,,,CTSH
,,,,,FOLR3
,,,,,ATP6V0B
,,,,,ADTRP
,,,,,C2
,,,,,ATP6V1D
,,,,,DCTN6
,,,,,AQP9
,,,,,HSD3B7
,,,,,MRPL13
,,,,,PLEKHB2
,,,,,FLVCR2
,,,,,VAMP3
,,,,,CYB5R3
,,,,,CCDC88A
,,,,,AOC3
,,,,,ROGDI
,,,,,SIGLEC1
,,,,,ACAA2
,,,,,YWHAG
,,,,,ACOT4
,,,,,ATP6AP1
,,,,,GTF2H5
,,,,,ACOT7
,,,,,H2AFJ
,,,,,HEXA
,,,,,ACSL1
,,,,,LEPROT
,,,,,ANXA4
,,,,,CD300LF
,,,,,CD74
,,,,,VAMP8
,,,,,TCEAL8
,,,,,SLC25A24
,,,,,YWHAH
,,,,,PHYH
,,,,,HDDC2
,,,,,MRPL27
,,,,,CDCP1
,,,,,AZI2
,,,,,PSMA6
,,,,,OAS1
,,,,,PSMD14
,,,,,LAP3
,,,,,FAM3B
,,,,,OPN3
,,,,,UPP1
,,,,,IL1B
,,,,,CTNNA1
,,,,,EIF4EBP1
,,,,,NUS1
,,,,,EDEM2
,,,,,HTATIP2
,,,,,RAB10
,,,,,PTPN12
,,,,,SPG21
,,,,,GLUL
,,,,,KYNU
,,,,,NQO2
,,,,,AIF1
,,,,,PDCD6IP
,,,,,SCARB2
,,,,,OTUD1
,,,,,DYNLL1
,,,,,RTN4
,,,,,DSE
,,,,,ETHE1
,,,,,CBR1
,,,,,C3AR1
,,,,,PAPSS1
,,,,,MYD88
,,,,,BCL2A1
,,,,,TXNDC17
,,,,,DRAM1
,,,,,RTN3
,,,,,ATOX1
,,,,,PLIN2
,,,,,FMNL2
,,,,,APOC1P1
,,,,,PRDX3
,,,,,ADAM17
,,,,,APOL4
,,,,,TUBB4B
,,,,,KMO
,,,,,COLEC12
,,,,,MGST2
,,,,,EPHX1
,,,,,ARL4A
,,,,,P2RX4
,,,,,ECHDC1
,,,,,ACP2
,,,,,HSPA1A
,,,,,HLA-DQA2
,,,,,PSAP
,,,,,NANS
,,,,,FUCA2
,,,,,ARRB1
,,,,,NCF4
,,,,,APLP2
,,,,,PLD3
,,,,,HK3
,,,,,RHBDD2
,,,,,FUCA1
,,,,,PCBD1
,,,,,LPXN
,,,,,MRPL14
,,,,,TUBB2A
,,,,,IL3RA
,,,,,TMEM14C
,,,,,REEP3
,,,,,MSRB2
,,,,,IGFBP2
,,,,,TPP1
,,,,,GLB1
,,,,,SLC6A6
,,,,,ATP6V0D1
,,,,,MFSD1
,,,,,DENND5A
,,,,,GK
,,,,,CTNNB1
,,,,,TMBIM1
,,,,,RNPEP
,,,,,SCPEP1
,,,,,IL1RN
,,,,,DECR1
,,,,,CLTC
,,,,,RNF13
,,,,,ALDH3A2
,,,,,LIPA
,,,,,ATP6V0C
,,,,,ATP6V1E1
,,,,,MAN1A1
,,,,,PEPD
,,,,,AKR1A1
,,,,,RAB1A
,,,,,NAA20
,,,,,PSMB5
,,,,,SLFN11
,,,,,ATP2C1
,,,,,TGOLN2
,,,,,SUMO3
,,,,,UBB
,,,,,ALAS1
,,,,,RBM47
,,,,,ASAH1
,,,,,UROD
,,,,,NAPRT
,,,,,TMEM35B
,,,,,CHMP5
,,,,,DPH3
,,,,,AKR1B1
,,,,,SPNS1
,,,,,B3GNT5
,,,,,ORMDL2
,,,,,GTF3C6
,,,,,HSBP1
,,,,,SH3GLB1
,,,,,KAT8
,,,,,LAMP1
,,,,,TRIP6
,,,,,HIGD1A
,,,,,CD86
,,,,,DST
,,,,,STOM
,,,,,IFI35
,,,,,CNDP2
,,,,,GCA
,,,,,C20orf27
,,,,,SLC49A3
,,,,,RAB11FIP1
,,,,,SIRPB1
,,,,,OAZ1
,,,,,DOK2
,,,,,BID
,,,,,MRPS15
,,,,,VDAC1
,,,,,PSMA7
,,,,,RNF181
,,,,,SDCBP
,,,,,SLC16A3
,,,,,SERPINB6
,,,,,BLOC1S2
,,,,,SMS
