club_cell,ciliated_cell,basal_cell,goblet_cell,mucous_cell,serous_cell,ionocyte,neuroendocrine_cell,tuft_cell,AT1,AT2,primed_AT2,cycling_AT2,UP_in_DATPs,Tuft_montoro_long,Tuft_montoro_short,DATP_short,DATP_long,our_DATP_sig
,,,,,,,,,,,,,,,,,,MT-ND6
,,,,,,,,,,,,,,,,,,ENO1
,,,,,,,,,,,,,,,,,,MT-ATP8
,,,,,,,,,,,,,,,,,,KPNB1
,,,,,,,,,,,,,,,,,,AHNAK
,,,,,,,,,,,,,,,,,,ITGAV
,,,,,,,,,,,,,,,,,,CDH1
,,,,,,,,,,,,,,,,,,CD9
,,,,,,,,,,,,,,,,,,MAL2
,,,,,,,,,,,,,,,,,,SDC4
,,,,,,,,,,,,,,,,,,ACTN4
,,,,,,,,,,,,,,,,,,SLC34A2
,,,,,,,,,,,,,,,,,,ADAM9
,,,,,,,,,,,,,,,,,,RTN4
,,,,,,,,,,,,,,,,,,TIMP3
,,,,,,,,,,,,,,,,,,ABCC3
,,,,,,,,,,,,,,,,,,EIF4G2
,,,,,,,,,,,,,,,,,,APP
,,,,,,,,,,,,,,,,,,F3
,,,,,,,,,,,,,,,,,,CSDE1
,,,,,,,,,,,,,,,,,,RAB11FIP1
,,,,,,,,,,,,,,,,,,GNAS
,,,,,,,,,,,,,,,,,,NAPSA
,,,,,,,,,,,,,,,,,,CTTN
,,,,,,,,,,,,,,,,,,SAT1
,,,,,,,,,,,,,,,,,,BCL2L1
,,,,,,,,,,,,,,,,,,F11R
,,,,,,,,,,,,,,,,,,DYNC1H1
,,,,,,,,,,,,,,,,,,NIBAN2
,,,,,,,,,,,,,,,,,,JUN
,,,,,,,,,,,,,,,,,,ATP1B1
,,,,,,,,,,,,,,,,,,MDM2
,,,,,,,,,,,,,,,,,,FAM120A
,,,,,,,,,,,,,,,,,,ERRFI1
,,,,,,,,,,,,,,,,,,PTPRF
,,,,,,,,,,,,,,,,,,ITGB6
,,,,,,,,,,,,,,,,,,GPRC5A
,,,,,,,,,,,,,,,,,,LPCAT1
,,,,,,,,,,,,,,,,,,ITGA3
,,,,,,,,,,,,,,,,,,GFPT1
,,,,,,,,,,,,,,,,,,MACC1
,,,,,,,,,,,,,,,,,,RRBP1
,,,,,,,,,,,,,,,,,,HOPX
,,,,,,,,,,,,,,,,,,PROS1
,,,,,,,,,,,,,,,,,,ANXA1
,,,,,,,,,,,,,,,,,,FLNB
,,,,,,,,,,,,,,,,,,TMEM63B
,,,,,,,,,,,,,,,,,,NUFIP2
,,,,,,,,,,,,,,,,,,PTBP3
,,,,,,,,,,,,,,,,,,PALM2-AKAP2
,,,,,,,,,,,,,,,,,,CLTC
,,,,,,,,,,,,,,,,,,DSTN
,,,,,,,,,,,,,,,,,,VCL
,,,,,,,,,,,,,,,,,,HMGB1
,,,,,,,,,,,,,,,,,,EIF3A
,,,,,,,,,,,,,,,,,,PRKAR1A
,,,,,,,,,,,,,,,,,,KIF5B
,,,,,,,,,,,,,,,,,,HIF1A
,,,,,,,,,,,,,,,,,,NFIX
,,,,,,,,,,,,,,,,,,KLF6
,,,,,,,,,,,,,,,,,,GNB1
,,,,,,,,,,,,,,,,,,MGLL
,,,,,,,,,,,,,,,,,,MEGF9
,,,,,,,,,,,,,,,,,,SFTPA2
