Monocytes,alveolar_mac_DEG,macrophage
,ACTN1,
,CSTA,
,QSOX1,
,SIRPA,
,MGST1,
,CYBB,
,CREG1,
,S100A6,
,AMIGO2,
,TUBB6,
,SPI1,
,CD9,
,CTSB,
,OSCAR,
,GLRX,
,SORT1,
,CAPG,
,SLC31A2,
,HLA-DRB1,
,ACVRL1,
,TFRC,
,TUBA1C,
,PILRA,
,HLA-DRA,
,PLA2G16,
,ALOX5,
,AKR1C3,
,MACC1,
,SLC7A7,
,PLXDC2,
,CLIC4,
,RND3,
,SMCO4,
,CD151,
,LYZ,
,AXL,
,BRI3,
,ACO1,
,TCF7L2,
,HCK,
,PDXK,
,RAB31,
,ATP1B1,
,COPRS,
,PGD,
,SLC15A3,
,STXBP2,
,CFD,
,CPE,
,GRINA,
,FPR1,
,TNNI2,
,FUOM,
,PECAM1,
,DUSP23,
,TRPV2,
,CXCL5,
,HEXB,
,UBASH3B,
,STAC,
,KCNA3,
,DNASE2,
,MT1L,
,MCOLN1,
,FCGR3A,
,FCER1G,
,FPR2,
,GGA2,
,HLA-DRB5,
,CNIH4,
,RAC1,
,MPHOSPH6,
,ARHGAP18,
,LRPAP1,
,FCGR2A,
,TMEM53,
,UBE2E2,
,AGPAT2,
,IFIT3,
,TUBA1B,
,CISD3,
,MLPH,
,TCEAL4,
,CD58,
,TFPT,
,ANPEP,
,MNDA,
,LGALS9,
,HLA-DMB,
,SPATS2L,
,POR,
,DPYSL2,
,GPX4,
,SMIM30,
,GM2A,
,COLGALT1,
,GSN,
,ZBTB8OS,
,LY86,
,TMSB4X,
,SLC27A3,
,TYROBP,
,ATP6V1B2,
,CCL23,
,IGSF6,
,STX12,
,TGFBI,
,PLSCR1,
,LAIR1,
,ENG,
,PDLIM7,
,TSPAN3,
,CCRL2,
,RHOB,
,BLVRA,
,TMED5,
,SQOR,
,SLC43A2,
,SDC4,
,ABHD5,
,DLD,
,HCFC1R1,
,HLA-DQA1,
,ATP6V1F,
,GNS,
,ZDHHC3,
,COA6,
,VKORC1,
,AVPI1,
,CD59,
,HLA-DQB1,
,PTTG1IP,
,RSU1,
,LACTB,
,PLAUR,
,HLA-DMA,
,ACER3,
,CD63,
,HLA-DRB6,
,LY96,
,CTSH,
,FOLR3,
,ATP6V0B,
,ADTRP,
,C2,
,ATP6V1D,
,DCTN6,
,AQP9,
,HSD3B7,
,MRPL13,
,PLEKHB2,
,FLVCR2,
,VAMP3,
,CYB5R3,
,CCDC88A,
,AOC3,
,ROGDI,
,SIGLEC1,
,ACAA2,
,YWHAG,
,ACOT4,
,ATP6AP1,
,GTF2H5,
,ACOT7,
,H2AFJ,
,HEXA,
,ACSL1,
,LEPROT,
,ANXA4,
,CD300LF,
,CD74,
,VAMP8,
,TCEAL8,
,SLC25A24,
,YWHAH,
,PHYH,
,HDDC2,
,MRPL27,
,CDCP1,
,AZI2,
,PSMA6,
,OAS1,
,PSMD14,
,LAP3,
,FAM3B,
,OPN3,
,UPP1,
,IL1B,
,CTNNA1,
,EIF4EBP1,
,NUS1,
,EDEM2,
,HTATIP2,
,RAB10,
,PTPN12,
,SPG21,
,GLUL,
,KYNU,
,NQO2,
,AIF1,
,PDCD6IP,
,SCARB2,
,OTUD1,
,DYNLL1,
,RTN4,
