ionocyte,neuroendocrine_cell,tuft_cell,AT1,AT2,vascular_smooth_muscle,airway_smooth_muscle,fibroblast,myofibroblast,lipofibroblast,pericyte,mesothelial_cell,tuft_1_montoro,tuft_2_montoro
,,,,,,,,,,,,Lamtor4,Ncoa7
,,,,,,,,,,,,Rpp21,Smoc1
,,,,,,,,,,,,Pitpnc1,Mdh1
,,,,,,,,,,,,Srpk2,Egln2
,,,,,,,,,,,,L1cam,Vsig2
,,,,,,,,,,,,Fam171a1,Hivep3
,,,,,,,,,,,,Ndufa6,Sdf4
,,,,,,,,,,,,Pnpla3,Echdc3
,,,,,,,,,,,,Il25,Copz1
,,,,,,,,,,,,Ly6g6d,Sct
,,,,,,,,,,,,Tmed9,Psmb8
,,,,,,,,,,,,Atp5d,Eef1d
,,,,,,,,,,,,0610012G03Rik,Sema4b
,,,,,,,,,,,,Shroom3,Samd14
,,,,,,,,,,,,Lage3,Lipg
,,,,,,,,,,,,Ttc25,Slco4a1
,,,,,,,,,,,,Cflar,Gnb2
,,,,,,,,,,,,Srpx2,Hpgds
,,,,,,,,,,,,Rps27l,Ppib
,,,,,,,,,,,,Pik3r5,Eef2
,,,,,,,,,,,,Cox6c,Dnttip1
,,,,,,,,,,,,Cracr2b,Pde4d
,,,,,,,,,,,,Nfe2l1,Ssu72
,,,,,,,,,,,,Pnkd,Arap2
,,,,,,,,,,,,Ddit4l,Cfp
,,,,,,,,,,,,Ubn1,Il18bp
,,,,,,,,,,,,Helz,Lgr5
,,,,,,,,,,,,Ccl17,Snx10
,,,,,,,,,,,,Ndufa13,Trappc2
,,,,,,,,,,,,2310001H17Rik,Efhd2
,,,,,,,,,,,,Uqcrh,Gm43949
,,,,,,,,,,,,Mrpl54,Prok2
,,,,,,,,,,,,Ptms,Tmem45b
,,,,,,,,,,,,Dab1,Ufm1
,,,,,,,,,,,,Stk38,Ogfr
,,,,,,,,,,,,Atp5o,Nxpe2
,,,,,,,,,,,,Kdm4a,Rap2a
,,,,,,,,,,,,Lamtor2,Igfbpl1
,,,,,,,,,,,,Usmg5,Mllt3
,,,,,,,,,,,,Snapc5,Ttll11
,,,,,,,,,,,,Ost4,Sdha
,,,,,,,,,,,,Pcdh20,Prcp
,,,,,,,,,,,,Hist1h1c,
,,,,,,,,,,,,Ndufs6,
,,,,,,,,,,,,Higd2a,
,,,,,,,,,,,,Myl12b,
,,,,,,,,,,,,Adgrb2,
,,,,,,,,,,,,Stra13,
,,,,,,,,,,,,Reep5,
,,,,,,,,,,,,Sptbn2,
,,,,,,,,,,,,Ppp1r11,
,,,,,,,,,,,,Dmxl2,
,,,,,,,,,,,,Tnfaip8,
,,,,,,,,,,,,Ndufa7,
,,,,,,,,,,,,H1f0,
,,,,,,,,,,,,Mrpl20,
,,,,,,,,,,,,Pou2f3,
,,,,,,,,,,,,Sort1,
,,,,,,,,,,,,Fras1,
,,,,,,,,,,,,Pygl,
,,,,,,,,,,,,Aldh2,
,,,,,,,,,,,,Btbd11,
,,,,,,,,,,,,Ociad2,
,,,,,,,,,,,,Ltc4s,
,,,,,,,,,,,,Rad23b,
,,,,,,,,,,,,Nrxn3,
,,,,,,,,,,,,Lipc,
,,,,,,,,,,,,Ctnnbip1,
,,,,,,,,,,,,Stox2,
,,,,,,,,,,,,March2,
,,,,,,,,,,,,Kcnh7,
,,,,,,,,,,,,Cadps2,
,,,,,,,,,,,,Mlf2,
,,,,,,,,,,,,Cebpzos,
,,,,,,,,,,,,Dnajc19,
,,,,,,,,,,,,Atp5l,
,,,,,,,,,,,,Hepacam2,
,,,,,,,,,,,,2410015M20Rik,
,,,,,,,,,,,,Vamp8,
,,,,,,,,,,,,Gm12446,
,,,,,,,,,,,,Rnf141,
,,,,,,,,,,,,Chchd1,
,,,,,,,,,,,,Anapc13,
,,,,,,,,,,,,Smarca2,
,,,,,,,,,,,,Atp5g2,
,,,,,,,,,,,,Naa38,
,,,,,,,,,,,,Fbxo25,
,,,,,,,,,,,,Dad1,
,,,,,,,,,,,,Nlk,
,,,,,,,,,,,,Stx8,
,,,,,,,,,,,,C8b,
,,,,,,,,,,,,Mn1,
,,,,,,,,,,,,Nxf1,
,,,,,,,,,,,,Med8,
,,,,,,,,,,,,Ppfia4,
,,,,,,,,,,,,Fam102a,
,,,,,,,,,,,,Smim10l1,
,,,,,,,,,,,,2510002D24Rik,
,,,,,,,,,,,,Stard5,
,,,,,,,,,,,,Exosc5,
,,,,,,,,,,,,Ndufb5,
,,,,,,,,,,,,Cbx6,
,,,,,,,,,,,,Pptc7,
,,,,,,,,,,,,Irak2,
,,,,,,,,,,,,Il18,
,,,,,,,,,,,,Pet100,
,,,,,,,,,,,,Lamtor5,
,,,,,,,,,,,,Sptlc2,
,,,,,,,,,,,,Crym,
,,,,,,,,,,,,Entpd7,
,,,,,,,,,,,,Kcnab2,
,,,,,,,,,,,,Atp4a,
,,,,,,,,,,,,Tas1r3,
,,,,,,,,,,,,Chil1,
,,,,,,,,,,,,Tbc1d9,
,,,,,,,,,,,,Vamp4,
,,,,,,,,,,,,Robo2,
,,,,,,,,,,,,Cyc1,
,,,,,,,,,,,,Tmem159,
,,,,,,,,,,,,Wnk2,
,,,,,,,,,,,,mt-Nd1,
,,,,,,,,,,,,H2-Ke6,
,,,,,,,,,,,,Ndufa2,
,,,,,,,,,,,,Six1,
,,,,,,,,,,,,Upp1,
,,,,,,,,,,,,Mrps25,
,,,,,,,,,,,,Nav2,
,,,,,,,,,,,,Aes,
,,,,,,,,,,,,Wbp1,
,,,,,,,,,,,,A3galt2,
,,,,,,,,,,,,Fam160a1,
,,,,,,,,,,,,Atp5g1,
,,,,,,,,,,,,Ddt,
,,,,,,,,,,,,Ivns1abp,
,,,,,,,,,,,,mt-Nd5,
,,,,,,,,,,,,Mapk10,
,,,,,,,,,,,,Arhgef2,
,,,,,,,,,,,,Pcmtd1,
,,,,,,,,,,,,Hotairm1,
,,,,,,,,,,,,Unc5b,
,,,,,,,,,,,,Srsf9,
,,,,,,,,,,,,Borcs7,
,,,,,,,,,,,,Etv6,
,,,,,,,,,,,,Prnp,
,,,,,,,,,,,,H2afj,
,,,,,,,,,,,,Bccip,
,,,,,,,,,,,,Tcf4,
,,,,,,,,,,,,AI480526,
,,,,,,,,,,,,Avil,
,,,,,,,,,,,,Cyhr1,
,,,,,,,,,,,,Stard10,
,,,,,,,,,,,,Ndufs4,
,,,,,,,,,,,,Zbtb20,
,,,,,,,,,,,,Fis1,
,,,,,,,,,,,,1700003M07Rik,
,,,,,,,,,,,,Vti1b,
,,,,,,,,,,,,Ndufb3,
,,,,,,,,,,,,Tnc,
,,,,,,,,,,,,Ndufa5,
,,,,,,,,,,,,D5Ertd579e,
,,,,,,,,,,,,Prss32,
,,,,,,,,,,,,Csk,
,,,,,,,,,,,,Acly,
,,,,,,,,,,,,Krt222,
,,,,,,,,,,,,Oaz1,
,,,,,,,,,,,,Cdkn2c,
,,,,,,,,,,,,Mrpl28,
,,,,,,,,,,,,Spire2,
,,,,,,,,,,,,Tmem256,
,,,,,,,,,,,,Hoxa5,
,,,,,,,,,,,,Aurkaip1,
,,,,,,,,,,,,Kcnq1,
,,,,,,,,,,,,Fam117a,
,,,,,,,,,,,,Tmem14c,
,,,,,,,,,,,,Nus1,
,,,,,,,,,,,,Ahsg,
,,,,,,,,,,,,Ccdc129,
,,,,,,,,,,,,Cox5a,
,,,,,,,,,,,,Tmem258,
,,,,,,,,,,,,Tmem238,
,,,,,,,,,,,,Proser2,
,,,,,,,,,,,,Atp1b1,
,,,,,,,,,,,,Panx1,
,,,,,,,,,,,,Tom1,
,,,,,,,,,,,,Cox4i1,
,,,,,,,,,,,,Mical3,
,,,,,,,,,,,,Ttll7,
,,,,,,,,,,,,Ndufb11,
,,,,,,,,,,,,Rilpl2,
,,,,,,,,,,,,Snx7,
,,,,,,,,,,,,Spsb2,
,,,,,,,,,,,,Ssx2ip,
,,,,,,,,,,,,Ascl2,
,,,,,,,,,,,,Bcl7b,
,,,,,,,,,,,,Ndufs8,
,,,,,,,,,,,,mt-Nd3,
,,,,,,,,,,,,Nsg2,
,,,,,,,,,,,,Dync1i2,
,,,,,,,,,,,,Eef2k,
,,,,,,,,,,,,Etfb,
,,,,,,,,,,,,Jakmip1,
,,,,,,,,,,,,Sh3bgrl,
,,,,,,,,,,,,Ano7,
,,,,,,,,,,,,Brk1,
,,,,,,,,,,,,Kcnq4,
,,,,,,,,,,,,Hcfc1r1,
,,,,,,,,,,,,Glt28d2,
,,,,,,,,,,,,Lrp12,
,,,,,,,,,,,,A630073D07Rik,
,,,,,,,,,,,,Coro2b,
,,,,,,,,,,,,Pim2,
,,,,,,,,,,,,5930412G12Rik,
,,,,,,,,,,,,Plekha6,
,,,,,,,,,,,,Atpif1,
,,,,,,,,,,,,Strbp,
,,,,,,,,,,,,Tank,
,,,,,,,,,,,,Atp6v1f,
,,,,,,,,,,,,Tsta3,
,,,,,,,,,,,,Hacd1,
,,,,,,,,,,,,Smim20,
,,,,,,,,,,,,Adgrf3,
,,,,,,,,,,,,Arid2,
,,,,,,,,,,,,Ap1s2,
,,,,,,,,,,,,mt-Co2,
,,,,,,,,,,,,Gas7,
,,,,,,,,,,,,Rps26,
,,,,,,,,,,,,Atox1,
,,,,,,,,,,,,Noxred1,
,,,,,,,,,,,,Smim4,
,,,,,,,,,,,,Gnb1,
,,,,,,,,,,,,Mpv17l,
,,,,,,,,,,,,Micall1,
,,,,,,,,,,,,Arhgef10,
,,,,,,,,,,,,Mag,
,,,,,,,,,,,,Agap1,
,,,,,,,,,,,,Kctd13,
,,,,,,,,,,,,Wbp4,
,,,,,,,,,,,,Hecw1,
,,,,,,,,,,,,Aspscr1,
,,,,,,,,,,,,Rasl11b,
,,,,,,,,,,,,Ice2,
,,,,,,,,,,,,D8Ertd82e,
,,,,,,,,,,,,Il10,
,,,,,,,,,,,,Npdc1,
,,,,,,,,,,,,B4galt6,
,,,,,,,,,,,,Bola2,
,,,,,,,,,,,,Gm15050,
,,,,,,,,,,,,Pik3cg,
,,,,,,,,,,,,Mrpl46,
,,,,,,,,,,,,Cwh43,
,,,,,,,,,,,,Ptprf,
,,,,,,,,,,,,Pin1,
,,,,,,,,,,,,Ndufa3,
,,,,,,,,,,,,Mpv17l2,
,,,,,,,,,,,,Sel1l3,
,,,,,,,,,,,,Ly6g6f,
,,,,,,,,,,,,Cdh2,
,,,,,,,,,,,,Gsg1l,
,,,,,,,,,,,,Mfsd7c,
,,,,,,,,,,,,Lpgat1,
,,,,,,,,,,,,Papss2,
,,,,,,,,,,,,Dnm2,
,,,,,,,,,,,,Neurl1a,
,,,,,,,,,,,,Psenen,
,,,,,,,,,,,,Emc4,
,,,,,,,,,,,,Uhmk1,
,,,,,,,,,,,,Atp5h,
,,,,,,,,,,,,Rhbdd3,
,,,,,,,,,,,,Anxa6,
,,,,,,,,,,,,Bcl2l14,
,,,,,,,,,,,,Enox1,
,,,,,,,,,,,,Phf20l1,
,,,,,,,,,,,,Mrps11,
