orig.ident,cell_type_main,immune_status,group,n,freq
L04covaddon,Fibroblasts,Non-immune,COVID-19,740,0.161783997
L04covaddon,Mast cell-like,Immune,COVID-19,73,0.015959773
L04covaddon,Myeloid,Immune,COVID-19,1606,0.351114998
L04covaddon,Neuron-like cells,Non-immune,COVID-19,70,0.015303892
L04covaddon,T cells,Immune,COVID-19,1017,0.222343682
L05cov,APC-like,Immune,COVID-19,8,0.002621232
L05cov,B cells,Immune,COVID-19,191,0.062581913
L05cov,Endothelial cells,Non-immune,COVID-19,204,0.066841415
L05cov,Epithelial cells,Non-immune,COVID-19,151,0.049475754
L05cov,Fibroblasts,Non-immune,COVID-19,646,0.211664482
L05cov,Mast cell-like,Immune,COVID-19,20,0.00655308
L05cov,Myeloid,Immune,COVID-19,1578,0.517038008
L05cov,Neuron-like cells,Non-immune,COVID-19,47,0.015399738
L05cov,T cells,Immune,COVID-19,207,0.067824377
L06cov,APC-like,Immune,COVID-19,21,0.002769718
L06cov,B cells,Immune,COVID-19,221,0.029147982
L06cov,Endothelial cells,Non-immune,COVID-19,366,0.048272224
L06cov,Epithelial cells,Non-immune,COVID-19,1848,0.243735162
L06cov,Fibroblasts,Non-immune,COVID-19,1584,0.208915853
L06cov,Mast cell-like,Immune,COVID-19,65,0.008572936
L06cov,Myeloid,Immune,COVID-19,2668,0.351886046
L06cov,Neuron-like cells,Non-immune,COVID-19,190,0.025059351
L06cov,T cells,Immune,COVID-19,619,0.081640728
L07cov,APC-like,Immune,COVID-19,27,0.005321246
L07cov,B cells,Immune,COVID-19,662,0.130469058
L07cov,Endothelial cells,Non-immune,COVID-19,41,0.00808041
L07cov,Epithelial cells,Non-immune,COVID-19,758,0.149389042
L07cov,Fibroblasts,Non-immune,COVID-19,623,0.122782814
L07cov,Mast cell-like,Immune,COVID-19,58,0.011430824
L07cov,Myeloid,Immune,COVID-19,930,0.183287347
L07cov,Neuron-like cells,Non-immune,COVID-19,101,0.0199054
L07cov,T cells,Immune,COVID-19,1874,0.369333859
L08cov,APC-like,Immune,COVID-19,30,0.007230658
L08cov,B cells,Immune,COVID-19,421,0.101470234
L08cov,Endothelial cells,Non-immune,COVID-19,105,0.025307303
L08cov,Epithelial cells,Non-immune,COVID-19,262,0.063147746
L08cov,Fibroblasts,Non-immune,COVID-19,975,0.234996385
L08cov,Mast cell-like,Immune,COVID-19,77,0.018558689
L08cov,Myeloid,Immune,COVID-19,1327,0.319836105
L08cov,Neuron-like cells,Non-immune,COVID-19,116,0.027958544
L08cov,T cells,Immune,COVID-19,836,0.201494336
L09cov,APC-like,Immune,COVID-19,26,0.007212205
L09cov,B cells,Immune,COVID-19,138,0.038280166
L09cov,Endothelial cells,Non-immune,COVID-19,107,0.029680999
L09cov,Epithelial cells,Non-immune,COVID-19,1680,0.466019417
L09cov,Fibroblasts,Non-immune,COVID-19,769,0.21331484
L09cov,Mast cell-like,Immune,COVID-19,49,0.013592233
L09cov,Myeloid,Immune,COVID-19,633,0.175589459
L09cov,Neuron-like cells,Non-immune,COVID-19,17,0.004715673
L09cov,T cells,Immune,COVID-19,186,0.051595007
L10cov,APC-like,Immune,COVID-19,2,0.001290323
L10cov,B cells,Immune,COVID-19,23,0.01483871
L10cov,Endothelial cells,Non-immune,COVID-19,79,0.050967742
L10cov,Epithelial cells,Non-immune,COVID-19,424,0.273548387
L10cov,Fibroblasts,Non-immune,COVID-19,364,0.23483871
L10cov,Mast cell-like,Immune,COVID-19,11,0.007096774
L10cov,Myeloid,Immune,COVID-19,588,0.379354839
L10cov,Neuron-like cells,Non-immune,COVID-19,15,0.009677419
L10cov,T cells,Immune,COVID-19,44,0.028387097
L11cov,APC-like,Immune,COVID-19,44,0.013349515
L11cov,B cells,Immune,COVID-19,178,0.054004854
L11cov,Endothelial cells,Non-immune,COVID-19,54,0.016383495
L11cov,Epithelial cells,Non-immune,COVID-19,122,0.037014563
L11cov,Fibroblasts,Non-immune,COVID-19,545,0.165351942
L11cov,Mast cell-like,Immune,COVID-19,10,0.003033981
L11cov,Myeloid,Immune,COVID-19,1988,0.60315534
L11cov,Neuron-like cells,Non-immune,COVID-19,43,0.013046117
L11cov,T cells,Immune,COVID-19,312,0.094660194
L12cov,APC-like,Immune,COVID-19,15,0.003869969
L12cov,B cells,Immune,COVID-19,143,0.036893705
L12cov,Endothelial cells,Non-immune,COVID-19,206,0.053147575
L12cov,Epithelial cells,Non-immune,COVID-19,507,0.130804954
L12cov,Fibroblasts,Non-immune,COVID-19,1244,0.320949432
L12cov,Mast cell-like,Immune,COVID-19,165,0.042569659
L12cov,Myeloid,Immune,COVID-19,971,0.250515996
L12cov,Neuron-like cells,Non-immune,COVID-19,69,0.017801858
L12cov,T cells,Immune,COVID-19,556,0.143446852
L13cov,APC-like,Immune,COVID-19,1,0.000205677
L13cov,B cells,Immune,COVID-19,40,0.008227067
L13cov,Endothelial cells,Non-immune,COVID-19,380,0.078157137
L13cov,Epithelial cells,Non-immune,COVID-19,628,0.129164953
L13cov,Fibroblasts,Non-immune,COVID-19,1595,0.328054299
